State1,State2
init,init
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,brak
wait,brak
wait,brak
wait,brak
wait,brak
wait,brak
wait,stop
wait,accl
wait,brak
wait,stop
wait,accl
accl,brak
accl,stop
accl,accl
accl,brak
accl,stop
accl,accl
accl,brak
accl,stop
accl,accl
accl,accl
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
stop,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,accl
wait,brak
wait,brak
wait,brak
wait,brak
wait,brak
wait,sync
wait,sync
wait,sync
wait,sync
wait,sync
wait,sync
wait,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,brak
sync,brak
sync,brak
sync,stop
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,sync
accl,sync
accl,sync
accl,sync
accl,sync
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
brak,accl
accl,accl
brak,accl
brak,accl
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
brak,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,brak
accl,stop
accl,wait
accl,wait
accl,wait
accl,wait
accl,wait
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
accl,accl
